Time [s],Value,Parity Error,Framing Error
0.001041666000000,0x00,,
0.003125000000000,0x01,,
0.005208332000000,0x02,,
0.007291666000000,0x03,,
0.009375000000000,0x04,,
0.011458332000000,0x05,,
0.013541666000000,0x06,,
0.015625000000000,0x07,,
0.017708332000000,0x08,,
0.019791666000000,0x09,,
0.021875000000000,0x0A,,
0.023958332000000,0x0B,,
0.026041666000000,0x0C,,
0.028125000000000,0x0D,,
0.030208332000000,0x0E,,
0.032291666000000,0x0F,,
0.034375000000000,0x10,,
0.036458332000000,0x11,,
0.038541666000000,0x12,,
0.040625000000000,0x13,,
0.042708332000000,0x14,,
0.044791666000000,0x15,,
0.046875000000000,0x16,,
0.048958332000000,0x17,,
0.051041666000000,0x18,,
0.053125000000000,0x19,,
0.055208332000000,0x1A,,
0.057291666000000,0x1B,,
0.059375000000000,0x1C,,
0.061458332000000,0x1D,,
0.063541666000000,0x1E,,
0.065625000000000,0x1F,,
0.067708332000000,0x20,,
0.069791666000000,0x21,,
0.071875000000000,0x22,,
0.073958332000000,0x23,,
0.076041666000000,0x24,,
0.078125000000000,0x25,,
0.080208332000000,0x26,,
0.082291666000000,0x27,,
0.084375000000000,0x28,,
0.086458332000000,0x29,,
0.088541666000000,0x2A,,
0.090625000000000,0x2B,,
0.092708332000000,0x2C,,
0.094791666000000,0x2D,,
0.096875000000000,0x2E,,
0.098958332000000,0x2F,,
0.101041666000000,0x30,,
0.103125000000000,0x31,,
0.105208332000000,0x32,,
0.107291666000000,0x33,,
0.109375000000000,0x34,,
0.111458332000000,0x35,,
0.113541666000000,0x36,,
0.115625000000000,0x37,,
0.117708332000000,0x38,,
0.119791666000000,0x39,,
0.121875000000000,0x3A,,
0.123958332000000,0x3B,,
0.126041666000000,0x3C,,
0.128125000000000,0x3D,,
0.130208332000000,0x3E,,
0.132291666000000,0x3F,,
